Reporter_Code,Reporter_Description,Partner_Code,Partner_Description,Indicator_Code,Indicator_Description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,BN,Brunei Darussalam,S,Services,M,Imports,2016,Million USD,9,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2005,Million USD,1817,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2006,Million USD,3012,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2007,Million USD,3499,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2008,Million USD,4514,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2009,Million USD,4703,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2010,Million USD,5143,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2011,Million USD,6959,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2012,Million USD,7498,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2013,Million USD,7679,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2014,Million USD,8265,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2015,Million USD,7834,,OECD,
US,United States of America,BR,Brazil,S,Services,M,Imports,2016,Million USD,6797,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2005,Million USD,22582,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2006,Million USD,23921,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2007,Million USD,25694,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2008,Million USD,25973,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2009,Million USD,23691,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2010,Million USD,27351,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2011,Million USD,30518,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2012,Million USD,31138,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2013,Million USD,30779,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2014,Million USD,30121,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2015,Million USD,29171,,OECD,
US,United States of America,CA,Canada,S,Services,M,Imports,2016,Million USD,29950,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2005,Million USD,12560,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2006,Million USD,14811,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2007,Million USD,16991,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2008,Million USD,19274,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2009,Million USD,19307,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2010,Million USD,19892,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2011,Million USD,19699,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2012,Million USD,21740,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2013,Million USD,22210,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2014,Million USD,21914,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2015,Million USD,21527,,OECD,
US,United States of America,CH,Switzerland,S,Services,M,Imports,2016,Million USD,23763,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2005,Million USD,657,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2006,Million USD,1035,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2007,Million USD,881,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2008,Million USD,1004,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2009,Million USD,956,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2010,Million USD,1045,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2011,Million USD,1346,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2012,Million USD,1544,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2013,Million USD,1456,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2014,Million USD,1420,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2015,Million USD,1534,,OECD,
US,United States of America,CL,Chile,S,Services,M,Imports,2016,Million USD,1737,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2005,Million USD,6857,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2006,Million USD,10140,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2007,Million USD,11800,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2008,Million USD,10924,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2009,Million USD,9560,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2010,Million USD,10609,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2011,Million USD,11781,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2012,Million USD,13040,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2013,Million USD,13908,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2014,Million USD,14017,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2015,Million USD,15064,,OECD,
US,United States of America,CN,China,S,Services,M,Imports,2016,Million USD,16139,,OECD,
US,United States of America,CO,Colombia,S,Services,M,Imports,2013,Million USD,2286,,OECD,
US,United States of America,CO,Colombia,S,Services,M,Imports,2014,Million USD,2847,,OECD,
US,United States of America,CO,Colombia,S,Services,M,Imports,2015,Million USD,3131,,OECD,
US,United States of America,CO,Colombia,S,Services,M,Imports,2016,Million USD,3009,,OECD,
US,United States of America,CR,Costa Rica,S,Services,M,Imports,2013,Million USD,2264,,OECD,
US,United States of America,CR,Costa Rica,S,Services,M,Imports,2014,Million USD,2292,,OECD,
US,United States of America,CR,Costa Rica,S,Services,M,Imports,2015,Million USD,2585,,OECD,
US,United States of America,CR,Costa Rica,S,Services,M,Imports,2016,Million USD,2884,,OECD,
US,United States of America,CY,Cyprus,S,Services,M,Imports,2013,Million USD,132,,OECD,
US,United States of America,CY,Cyprus,S,Services,M,Imports,2014,Million USD,170,,OECD,
US,United States of America,CY,Cyprus,S,Services,M,Imports,2015,Million USD,160,,OECD,
US,United States of America,CZ,Czech Republic,S,Services,M,Imports,2013,Million USD,920,,OECD,
US,United States of America,CZ,Czech Republic,S,Services,M,Imports,2014,Million USD,1003,,OECD,
US,United States of America,CZ,Czech Republic,S,Services,M,Imports,2015,Million USD,1148,,OECD,
US,United States of America,CZ,Czech Republic,S,Services,M,Imports,2016,Million USD,1263,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2005,Million USD,23818,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2006,Million USD,26911,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2007,Million USD,29881,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2008,Million USD,33372,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2009,Million USD,28668,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2010,Million USD,28397,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2011,Million USD,30028,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2012,Million USD,31290,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2013,Million USD,32491,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2014,Million USD,32456,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2015,Million USD,31777,,OECD,
US,United States of America,DE,Germany,S,Services,M,Imports,2016,Million USD,33395,,OECD,
US,United States of America,DK,Denmark,S,Services,M,Imports,2013,Million USD,2105,,OECD,
US,United States of America,DK,Denmark,S,Services,M,Imports,2014,Million USD,2278,,OECD,
US,United States of America,DK,Denmark,S,Services,M,Imports,2015,Million USD,2660,,OECD,
US,United States of America,DK,Denmark,S,Services,M,Imports,2016,Million USD,2671,,OECD,
US,United States of America,DO,Dominican Republic,S,Services,M,Imports,2013,Million USD,3348,,OECD,
US,United States of America,DO,Dominican Republic,S,Services,M,Imports,2014,Million USD,3848,,OECD,
US,United States of America,DO,Dominican Republic,S,Services,M,Imports,2015,Million USD,4327,,OECD,
US,United States of America,DO,Dominican Republic,S,Services,M,Imports,2016,Million USD,4551,,OECD,
US,United States of America,E27,European Union (27),S,Services,M,Imports,2007,Million USD,144529,,OECD,
US,United States of America,E27,European Union (27),S,Services,M,Imports,2008,Million USD,155681,,OECD,
US,United States of America,E27,European Union (27),S,Services,M,Imports,2009,Million USD,138334,,OECD,
US,United States of America,E27,European Union (27),S,Services,M,Imports,2010,Million USD,143615,,OECD,
US,United States of America,E27,European Union (27),S,Services,M,Imports,2011,Million USD,156132,,OECD,
US,United States of America,E27,European Union (27),S,Services,M,Imports,2012,Million USD,157702,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2005,Million USD,114742,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2006,Million USD,130902,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2007,Million USD,144529,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2008,Million USD,155681,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2009,Million USD,138334,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2010,Million USD,143615,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2011,Million USD,156132,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2012,Million USD,157056,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2013,Million USD,161185,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2014,Million USD,169775,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2015,Million USD,174059,,OECD,
US,United States of America,E28,European Union (28),S,Services,M,Imports,2016,Million USD,176454,,OECD,
US,United States of America,EE,Estonia,S,Services,M,Imports,2013,Million USD,142,,OECD,
US,United States of America,EE,Estonia,S,Services,M,Imports,2014,Million USD,131,,OECD,
US,United States of America,EE,Estonia,S,Services,M,Imports,2015,Million USD,106,,OECD,
US,United States of America,EE,Estonia,S,Services,M,Imports,2016,Million USD,111,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2005,Million USD,3240,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2006,Million USD,3939,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2007,Million USD,4452,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2008,Million USD,5030,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2009,Million USD,4808,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2010,Million USD,4852,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2011,Million USD,5666,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2012,Million USD,5501,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2013,Million USD,5256,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2014,Million USD,5662,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2015,Million USD,5837,,OECD,
US,United States of America,ES,Spain,S,Services,M,Imports,2016,Million USD,6296,,OECD,
US,United States of America,FI,Finland,S,Services,M,Imports,2013,Million USD,1833,,OECD,
US,United States of America,FI,Finland,S,Services,M,Imports,2014,Million USD,2272,,OECD,
US,United States of America,FI,Finland,S,Services,M,Imports,2015,Million USD,2084,,OECD,
US,United States of America,FI,Finland,S,Services,M,Imports,2016,Million USD,2468,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2005,Million USD,12957,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2006,Million USD,15257,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2007,Million USD,16396,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2008,Million USD,15148,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2009,Million USD,15548,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2010,Million USD,15820,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2011,Million USD,17571,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2012,Million USD,16543,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2013,Million USD,14995,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2014,Million USD,16430,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2015,Million USD,16311,,OECD,
US,United States of America,FR,France,S,Services,M,Imports,2016,Million USD,16451,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2005,Million USD,33682,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2006,Million USD,38614,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2007,Million USD,41870,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2008,Million USD,45259,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2009,Million USD,38510,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2010,Million USD,42307,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2011,Million USD,46997,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2012,Million USD,46888,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2013,Million USD,49038,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2014,Million USD,52414,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2015,Million USD,53589,,OECD,
US,United States of America,GB,United Kingdom,S,Services,M,Imports,2016,Million USD,51698,,OECD,
US,United States of America,GR,Greece,S,Services,M,Imports,2013,Million USD,2325,,OECD,
US,United States of America,GR,Greece,S,Services,M,Imports,2014,Million USD,2461,,OECD,
US,United States of America,GR,Greece,S,Services,M,Imports,2015,Million USD,2761,,OECD,
US,United States of America,GR,Greece,S,Services,M,Imports,2016,Million USD,2933,,OECD,
US,United States of America,GT,Guatemala,S,Services,M,Imports,2013,Million USD,923,,OECD,
US,United States of America,GT,Guatemala,S,Services,M,Imports,2014,Million USD,1027,,OECD,
US,United States of America,GT,Guatemala,S,Services,M,Imports,2015,Million USD,1009,,OECD,
US,United States of America,GT,Guatemala,S,Services,M,Imports,2016,Million USD,997,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2005,Million USD,5116,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2006,Million USD,6488,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2007,Million USD,7037,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2008,Million USD,7175,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2009,Million USD,5693,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2010,Million USD,6419,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2011,Million USD,6704,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2012,Million USD,7044,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2013,Million USD,7656,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2014,Million USD,8506,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2015,Million USD,8838,,OECD,
US,United States of America,HK,"Hong Kong, China",S,Services,M,Imports,2016,Million USD,8748,,OECD,
US,United States of America,HN,Honduras,S,Services,M,Imports,2013,Million USD,642,,OECD,
US,United States of America,HN,Honduras,S,Services,M,Imports,2014,Million USD,672,,OECD,
US,United States of America,HN,Honduras,S,Services,M,Imports,2015,Million USD,659,,OECD,
US,United States of America,HN,Honduras,S,Services,M,Imports,2016,Million USD,634,,OECD,
US,United States of America,HR,Croatia,S,Services,M,Imports,2013,Million USD,192,,OECD,
US,United States of America,HR,Croatia,S,Services,M,Imports,2014,Million USD,223,,OECD,
US,United States of America,HR,Croatia,S,Services,M,Imports,2015,Million USD,245,,OECD,
US,United States of America,HR,Croatia,S,Services,M,Imports,2016,Million USD,256,,OECD,
US,United States of America,HU,Hungary,S,Services,M,Imports,2013,Million USD,686,,OECD,
US,United States of America,HU,Hungary,S,Services,M,Imports,2014,Million USD,707,,OECD,
US,United States of America,HU,Hungary,S,Services,M,Imports,2015,Million USD,826,,OECD,
US,United States of America,HU,Hungary,S,Services,M,Imports,2016,Million USD,939,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2005,Million USD,449,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2006,Million USD,382,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2007,Million USD,546,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2008,Million USD,523,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2009,Million USD,498,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2010,Million USD,539,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2011,Million USD,549,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2012,Million USD,670,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2013,Million USD,610,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2014,Million USD,718,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2015,Million USD,791,,OECD,
US,United States of America,ID,Indonesia,S,Services,M,Imports,2016,Million USD,908,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2006,Million USD,8868,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2007,Million USD,13474,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2008,Million USD,13822,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2009,Million USD,12716,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2010,Million USD,12071,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2011,Million USD,12539,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2012,Million USD,13037,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2013,Million USD,13637,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2014,Million USD,14262,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2015,Million USD,16043,,OECD,
US,United States of America,IE,Ireland,S,Services,M,Imports,2016,Million USD,16917,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2005,Million USD,3020,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2006,Million USD,3830,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2007,Million USD,3951,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2008,Million USD,4405,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2009,Million USD,4340,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2010,Million USD,4588,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2011,Million USD,5067,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2012,Million USD,5152,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2013,Million USD,5163,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2014,Million USD,5730,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2015,Million USD,6168,,OECD,
US,United States of America,IL,Israel,S,Services,M,Imports,2016,Million USD,6576,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2005,Million USD,4752,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2006,Million USD,7054,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2007,Million USD,9950,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2008,Million USD,12654,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2009,Million USD,12222,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2010,Million USD,14711,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2011,Million USD,17376,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2012,Million USD,18773,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2013,Million USD,20387,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2014,Million USD,22431,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2015,Million USD,24610,,OECD,
US,United States of America,IN,India,S,Services,M,Imports,2016,Million USD,25808,,OECD,
US,United States of America,IO,British Indian Ocean Territory,S,Services,M,Imports,2013,Million USD,7855,,OECD,
US,United States of America,IO,British Indian Ocean Territory,S,Services,M,Imports,2014,Million USD,7457,,OECD,
US,United States of America,IO,British Indian Ocean Territory,S,Services,M,Imports,2015,Million USD,6803,,OECD,
US,United States of America,IO,British Indian Ocean Territory,S,Services,M,Imports,2016,Million USD,5991,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2005,Million USD,9426,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2006,Million USD,10067,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2007,Million USD,10211,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2008,Million USD,9913,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2009,Million USD,8690,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2010,Million USD,9552,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2011,Million USD,10494,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2012,Million USD,10838,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2013,Million USD,10353,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2014,Million USD,10581,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2015,Million USD,10786,,OECD,
US,United States of America,IT,Italy,S,Services,M,Imports,2016,Million USD,11339,,OECD,
US,United States of America,JO,Jordan,S,Services,M,Imports,2013,Million USD,625,,OECD,
US,United States of America,JO,Jordan,S,Services,M,Imports,2014,Million USD,552,,OECD,
US,United States of America,JO,Jordan,S,Services,M,Imports,2015,Million USD,595,,OECD,
US,United States of America,JO,Jordan,S,Services,M,Imports,2016,Million USD,594,,OECD,
US,United States of America,JP,Japan,S,Services,M,Imports,2005,Million USD,20577,,OECD,
